ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
833580.BJ,20250627,15.58,15.58,14.51,14.76,15.63,-0.87,-5.5662,73050.96,109061.448
833580.BJ,20250626,14.59,15.78,14.33,15.63,14.48,1.15,7.942,98160.92,148795.784
833580.BJ,20250625,14.39,14.66,14.19,14.48,14.52,-0.04,-0.2755,37454.28,53944.363
833580.BJ,20250624,14.13,14.52,13.98,14.52,14.07,0.45,3.1983,34012.49,48617.365
833580.BJ,20250623,13.57,14.23,13.28,14.07,13.44,0.63,4.6875,29676.9,41364.585
833580.BJ,20250620,13.62,13.94,13.26,13.44,13.48,-0.04,-0.2967,18555.17,25245.338
833580.BJ,20250619,14.71,14.71,13.43,13.48,14.26,-0.78,-5.4698,31717.44,44668.109
833580.BJ,20250618,14.39,14.58,13.98,14.26,14.21,0.05,0.3519,23369.18,33303.807
833580.BJ,20250617,14.06,14.41,13.91,14.21,14.14,0.07,0.495,16816.46,23763.518
833580.BJ,20250616,13.85,14.24,13.84,14.14,14.09,0.05,0.3549,17910.97,25170.115
833580.BJ,20250613,14.72,14.99,14.08,14.09,14.84,-0.75,-5.0539,38964.41,56821.571
833580.BJ,20250612,14.51,14.9,14.21,14.84,14.51,0.33,2.2743,34517.6,50286.333
833580.BJ,20250611,14.14,14.59,13.94,14.51,14.06,0.45,3.2006,37137.25,53284.945
833580.BJ,20250610,13.94,14.18,13.7,14.06,13.91,0.15,1.0784,36459.8,51046.095
833580.BJ,20250609,13.87,13.95,13.67,13.91,13.73,0.18,1.311,22731.62,31472.727
833580.BJ,20250606,13.69,13.95,13.41,13.73,13.59,0.14,1.0302,22326.85,30611.363
833580.BJ,20250605,13.76,13.83,13.5,13.59,13.6,-0.01,-0.0735,18360.87,25008.491
833580.BJ,20250604,13.54,13.75,13.36,13.6,13.49,0.11,0.8154,23483.25,31920.803
833580.BJ,20250603,13.33,13.49,13.1,13.49,13.19,0.3,2.2745,16578.59,22135.573
833580.BJ,20250530,13.7,13.71,13.13,13.19,13.61,-0.42,-3.086,17532.91,23407.274
833580.BJ,20250529,12.96,13.64,12.88,13.61,12.95,0.66,5.0965,40389.99,54205.612
833580.BJ,20250528,13.45,13.49,12.84,12.95,13.37,-0.42,-3.1414,25456.24,33394.438
833580.BJ,20250527,13.61,13.76,13.3,13.37,13.77,-0.4,-2.9049,35028.64,47267.013
833580.BJ,20250526,13.25,13.86,12.98,13.84,13.39,0.45,3.3607,57397.9,76698.296
833580.BJ,20250523,13.99,14.75,13.39,13.39,14.72,-1.33,-9.0353,107022.65,149285.746
833580.BJ,20250522,16.55,17.99,14.68,14.72,15.26,-0.54,-3.5387,161199.53,263823.265
833580.BJ,20250521,14.66,15.5,14.31,15.26,14.66,0.6,4.0928,78982.99,118326.63
833580.BJ,20250520,14.25,14.71,13.84,14.66,14.02,0.64,4.5649,33831.73,48670.029
833580.BJ,20250519,13.87,14.19,13.6,14.02,13.68,0.34,2.4854,23429.6,32604.368
833580.BJ,20250516,13.57,13.81,13.48,13.68,13.55,0.13,0.9594,16493.84,22536.002
833580.BJ,20250515,13.63,14.01,13.48,13.55,13.52,0.03,0.2219,34887.5,48018.248
833580.BJ,20250514,13.0,13.52,12.89,13.52,12.98,0.54,4.1602,27312.4,36160.265
833580.BJ,20250513,13.5,13.66,12.98,12.98,13.38,-0.4,-2.9895,21879.57,29133.187
833580.BJ,20250512,13.44,13.44,13.21,13.38,13.25,0.13,0.9811,14938.76,19901.482
833580.BJ,20250509,13.4,13.5,13.0,13.25,13.44,-0.19,-1.4137,19908.53,26503.634
833580.BJ,20250508,13.26,13.47,13.09,13.44,13.19,0.25,1.8954,22192.19,29483.874
833580.BJ,20250507,13.37,13.58,12.98,13.19,13.19,0.0,0.0,19823.68,26285.795
833580.BJ,20250506,12.81,13.19,12.6,13.19,12.57,0.62,4.9324,21380.56,27725.572
833580.BJ,20250430,12.09,12.7,12.09,12.57,12.13,0.44,3.6274,16395.12,20522.548
833580.BJ,20250429,11.71,12.38,11.64,12.13,11.82,0.31,2.6227,13730.49,16585.751
833580.BJ,20250428,12.4,12.4,11.72,11.82,12.3,-0.48,-3.9024,10919.59,13025.104
833580.BJ,20250425,12.33,12.6,12.0,12.3,12.27,0.03,0.2445,10884.19,13533.199
833580.BJ,20250424,12.8,12.94,12.01,12.27,12.95,-0.68,-5.251,28134.66,34940.585
833580.BJ,20250423,13.16,13.25,12.8,12.95,13.06,-0.11,-0.8423,23157.89,30065.583
833580.BJ,20250422,13.01,13.69,12.93,13.06,13.18,-0.12,-0.9105,33443.27,44251.143
833580.BJ,20250421,13.27,13.44,12.91,13.18,13.06,0.12,0.9188,31643.51,41730.361
833580.BJ,20250418,12.63,13.09,12.55,13.06,12.7,0.36,2.8346,24186.9,31265.914
833580.BJ,20250417,12.23,12.84,12.14,12.7,12.35,0.35,2.834,18394.12,23285.733
833580.BJ,20250416,12.66,12.68,12.0,12.35,12.77,-0.42,-3.289,15432.94,19063.688
833580.BJ,20250415,12.68,12.8,12.01,12.77,12.62,0.15,1.1886,21647.0,27156.397
833580.BJ,20250414,12.45,12.99,12.42,12.62,12.42,0.2,1.6103,28061.8,35576.094
833580.BJ,20250411,12.2,13.01,12.1,12.42,12.31,0.11,0.8936,36341.5,46060.023
833580.BJ,20250410,12.14,12.85,11.53,12.31,11.74,0.57,4.8552,37014.49,46081.596
833580.BJ,20250409,10.62,11.96,10.43,11.74,10.55,1.19,11.2796,32557.59,36864.808
833580.BJ,20250408,9.93,10.7,9.92,10.55,9.7,0.85,8.7629,24492.6,25281.321
