ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603312.SH,20250627,35.93,36.38,35.8,36.24,35.85,0.39,1.0879,10093.01,36457.58
603312.SH,20250626,36.24,36.47,35.65,35.85,36.26,-0.41,-1.1307,13519.0,48678.59
603312.SH,20250625,36.08,36.75,35.88,36.26,36.08,0.18,0.4989,13654.37,49532.495
603312.SH,20250624,34.78,36.17,34.63,36.08,34.63,1.45,4.1871,20272.0,72278.602
603312.SH,20250623,34.77,34.88,34.33,34.63,34.7,-0.07,-0.2017,7512.0,26003.128
603312.SH,20250620,34.86,35.62,34.55,34.7,34.97,-0.27,-0.7721,8547.67,29889.223
603312.SH,20250619,34.53,35.89,34.43,34.97,34.63,0.34,0.9818,13874.96,49007.213
603312.SH,20250618,34.29,34.69,34.11,34.63,34.26,0.37,1.08,6685.87,23012.41
603312.SH,20250617,34.55,34.6,34.1,34.26,34.41,-0.15,-0.4359,5102.37,17472.952
603312.SH,20250616,34.72,34.96,34.2,34.41,34.72,-0.31,-0.8929,9233.0,31904.247
603312.SH,20250613,34.91,35.41,34.72,34.72,35.27,-0.55,-1.5594,8566.0,29983.774
603312.SH,20250612,35.51,35.57,35.08,35.27,35.37,-0.1,-0.2827,5694.0,20044.577
603312.SH,20250611,35.07,35.85,34.93,35.37,35.03,0.34,0.9706,10856.83,38640.287
603312.SH,20250610,35.5,35.5,34.5,35.03,35.4,-0.37,-1.0452,11342.0,39676.405
603312.SH,20250609,35.83,36.41,35.02,35.4,35.96,-0.56,-1.5573,18299.0,65001.224
603312.SH,20250606,35.1,36.21,34.9,35.96,35.11,0.85,2.421,20177.0,71814.313
603312.SH,20250605,35.22,35.4,34.79,35.11,35.0,0.11,0.3143,10850.0,38045.205
603312.SH,20250604,36.02,36.35,34.5,35.75,36.01,-0.26,-0.722,16778.0,59988.923
603312.SH,20250603,35.96,36.32,35.64,36.01,36.06,-0.05,-0.1387,8177.92,29501.378
603312.SH,20250530,36.65,36.95,36.0,36.06,36.66,-0.6,-1.6367,10324.0,37446.453
603312.SH,20250529,36.5,37.12,36.46,36.66,36.45,0.21,0.5761,10788.95,39642.134
603312.SH,20250528,36.25,36.8,36.25,36.45,36.23,0.22,0.6072,7041.29,25704.565
603312.SH,20250527,36.72,36.72,36.15,36.23,36.74,-0.51,-1.3881,7509.0,27341.383
603312.SH,20250526,36.88,37.1,36.28,36.74,36.86,-0.12,-0.3256,7408.34,27205.683
603312.SH,20250523,37.32,37.58,36.86,36.86,37.21,-0.35,-0.9406,7813.0,29096.433
603312.SH,20250522,37.96,38.28,37.12,37.21,37.96,-0.75,-1.9758,8878.0,33433.436
603312.SH,20250521,38.66,38.75,37.95,37.96,38.64,-0.68,-1.7598,8606.5,32870.152
603312.SH,20250520,38.28,38.79,37.92,38.64,38.16,0.48,1.2579,6821.8,26210.025
603312.SH,20250519,38.51,38.85,37.96,38.16,38.79,-0.63,-1.6241,9393.48,35884.12
603312.SH,20250516,38.64,39.47,38.64,38.79,38.56,0.23,0.5965,13370.32,52061.008
603312.SH,20250515,39.0,39.0,38.39,38.56,39.02,-0.46,-1.1789,8439.05,32596.992
603312.SH,20250514,39.5,39.63,38.93,39.02,39.49,-0.47,-1.1902,8825.0,34571.917
603312.SH,20250513,40.5,40.51,39.28,39.49,40.2,-0.71,-1.7662,12124.35,48070.438
603312.SH,20250512,39.64,40.3,39.13,40.2,39.13,1.07,2.7345,18380.51,73116.521
