ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
835368.BJ,20250627,28.11,28.37,27.65,28.22,28.03,0.19,0.6778,33817.37,95016.853
835368.BJ,20250626,27.96,28.66,27.65,28.03,27.89,0.14,0.502,44762.02,126112.851
835368.BJ,20250625,27.86,27.98,27.36,27.89,27.73,0.16,0.577,38148.03,105743.186
835368.BJ,20250624,26.84,27.77,26.74,27.73,26.83,0.9,3.3545,41915.54,114999.584
835368.BJ,20250623,26.45,27.09,26.26,26.83,26.84,-0.01,-0.0373,23641.1,63000.107
835368.BJ,20250620,26.72,27.38,26.7,26.84,26.62,0.22,0.8264,26931.14,72933.697
835368.BJ,20250619,27.4,27.8,26.48,26.62,27.31,-0.69,-2.5265,30053.24,81692.501
835368.BJ,20250618,26.6,27.46,26.03,27.31,26.77,0.54,2.0172,32174.6,87280.595
835368.BJ,20250617,26.73,27.17,26.57,26.77,26.73,0.04,0.1496,20230.37,54467.491
835368.BJ,20250616,26.3,26.88,26.2,26.73,26.65,0.08,0.3002,19437.38,51732.483
835368.BJ,20250613,27.5,27.5,26.52,26.65,27.52,-0.87,-3.1613,34022.59,91403.195
835368.BJ,20250612,27.4,27.73,27.01,27.52,27.45,0.07,0.255,26155.69,71531.131
835368.BJ,20250611,27.45,27.74,27.23,27.45,27.31,0.14,0.5126,23557.17,64886.016
835368.BJ,20250610,28.25,28.3,27.07,27.31,28.21,-0.9,-3.1904,39241.96,108398.577
835368.BJ,20250609,28.37,28.42,28.16,28.21,28.19,0.02,0.0709,22149.24,62600.806
835368.BJ,20250606,28.55,28.77,28.16,28.19,28.55,-0.36,-1.2609,24208.12,68706.937
835368.BJ,20250605,28.66,28.69,28.21,28.55,28.44,0.11,0.3868,24759.79,70464.823
835368.BJ,20250604,28.25,28.62,28.13,28.44,28.25,0.19,0.6726,21135.42,60145.232
835368.BJ,20250603,28.19,28.6,27.79,28.25,28.26,-0.01,-0.0354,20521.85,57813.592
835368.BJ,20250530,28.4,28.88,28.17,28.26,28.46,-0.2,-0.7027,29784.26,84932.32
835368.BJ,20250529,27.69,28.46,27.69,28.46,27.76,0.7,2.5216,25940.59,73190.372
835368.BJ,20250528,28.78,28.94,27.71,27.76,28.48,-0.72,-2.5281,24794.38,69945.345
835368.BJ,20250527,28.45,28.96,28.43,28.48,28.58,-0.1,-0.3499,26700.83,76715.163
835368.BJ,20250526,27.65,28.7,27.6,28.58,27.9,0.68,2.4373,24403.8,69153.086
835368.BJ,20250523,28.3,28.99,27.89,27.9,28.41,-0.51,-1.7951,32972.85,94281.721
835368.BJ,20250522,29.01,29.15,28.18,28.41,29.28,-0.87,-2.9713,39628.44,113214.847
835368.BJ,20250521,29.71,30.15,29.26,29.28,29.72,-0.44,-1.4805,38084.63,112993.806
835368.BJ,20250520,29.22,29.78,28.77,29.72,29.1,0.62,2.1306,43991.04,129384.756
835368.BJ,20250519,28.72,29.1,28.16,29.1,28.72,0.38,1.3231,28954.7,83078.723
835368.BJ,20250516,28.76,29.15,28.64,28.72,28.92,-0.2,-0.6916,32282.09,93143.369
835368.BJ,20250515,29.57,29.75,28.89,28.92,29.62,-0.7,-2.3633,38224.1,111942.707
835368.BJ,20250514,29.65,29.9,28.78,29.62,30.1,-0.48,-1.5947,59641.34,174390.892
835368.BJ,20250513,29.88,31.05,29.11,30.1,29.11,0.99,3.4009,82151.96,249327.638
835368.BJ,20250512,28.7,29.2,28.34,29.11,28.45,0.66,2.3199,37450.49,108336.667
835368.BJ,20250509,28.9,28.98,28.3,28.45,28.92,-0.47,-1.6252,29906.18,85459.146
835368.BJ,20250508,28.25,29.18,28.0,28.92,28.47,0.45,1.5806,33744.63,96956.194
835368.BJ,20250507,29.3,29.34,27.82,28.47,28.45,0.02,0.0703,36041.24,102830.935
835368.BJ,20250506,27.6,28.49,27.41,28.45,27.26,1.19,4.3654,32836.01,92722.971
835368.BJ,20250430,26.26,27.4,26.26,27.26,26.23,1.03,3.9268,30022.81,81117.672
835368.BJ,20250429,26.21,26.68,25.91,26.23,26.22,0.01,0.0381,22148.32,58251.449
835368.BJ,20250428,27.68,27.68,26.17,26.22,27.18,-0.96,-3.532,27716.02,74472.609
835368.BJ,20250425,27.12,27.8,27.1,27.18,26.93,0.25,0.9283,24661.84,67529.274
