ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
920082.BJ,20250627,22.32,22.8,21.72,21.73,23.32,-1.59,-6.8182,81786.11,181071.074
920082.BJ,20250626,20.52,23.5,20.52,23.32,20.73,2.59,12.494,122269.35,269287.202
920082.BJ,20250625,21.2,21.22,20.39,20.73,21.1,-0.37,-1.7536,50685.58,104558.363
920082.BJ,20250624,20.47,21.26,20.23,21.1,21.38,-0.28,-1.3096,61721.44,128177.09
920082.BJ,20250623,21.3,22.46,20.9,21.38,21.46,-0.08,-0.3728,54364.19,117279.638
920082.BJ,20250620,20.6,21.55,20.13,21.46,20.54,0.92,4.4791,58061.54,121294.956
920082.BJ,20250619,21.4,21.4,20.01,20.54,21.59,-1.05,-4.8634,65136.44,134701.475
920082.BJ,20250618,22.48,23.09,21.5,21.59,22.69,-1.1,-4.848,70346.12,154153.07
920082.BJ,20250617,21.85,23.33,21.22,22.69,22.5,0.19,0.8444,104195.19,231269.989
920082.BJ,20250616,20.65,23.65,20.4,22.5,20.67,1.83,8.8534,122577.53,270596.314
920082.BJ,20250613,19.8,22.0,19.75,20.67,19.18,1.49,7.7685,129473.12,270479.042
920082.BJ,20250612,19.2,19.32,18.98,19.18,19.14,0.04,0.209,20048.84,38444.802
920082.BJ,20250611,19.14,19.35,18.96,19.14,18.92,0.22,1.1628,20544.35,39415.167
920082.BJ,20250610,19.46,19.46,18.66,18.92,19.4,-0.48,-2.4742,28114.62,53378.891
920082.BJ,20250609,19.59,19.59,19.15,19.4,19.36,0.04,0.2066,18061.18,34934.928
920082.BJ,20250606,19.51,19.69,19.21,19.36,19.19,0.17,0.8859,22998.4,44780.384
920082.BJ,20250605,19.28,19.46,19.12,19.19,19.33,-0.14,-0.7243,17392.3,33455.492
920082.BJ,20250604,19.19,19.57,19.01,19.33,19.18,0.15,0.7821,20197.19,39082.713
920082.BJ,20250603,19.0,19.28,19.0,19.18,19.27,-0.09,-0.467,21580.6,41268.256
920082.BJ,20250530,19.97,20.17,19.15,19.27,20.13,-0.86,-4.2722,31841.52,62005.681
920082.BJ,20250529,19.85,20.35,19.61,20.13,19.96,0.17,0.8517,40098.26,80500.413
920082.BJ,20250528,19.19,20.33,18.95,19.96,19.18,0.78,4.0667,53326.64,106036.202
920082.BJ,20250527,19.33,19.54,19.08,19.18,19.38,-0.2,-1.032,21325.05,41068.634
920082.BJ,20250526,18.59,19.48,18.39,19.38,18.51,0.87,4.7002,28030.0,53226.248
